Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1828.55079223 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1819.81308274 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1819.81308274 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1823.19412019 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1823.19412019 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1822.93965935 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1822.93965935 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1813.82054898 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1813.82054898 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1801.41466578 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1801.41466578 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1804.4034539 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1804.4034539 (best: 1832.86300901)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1798.77430606 (best: 1832.86300901)
